date,Confirmed,Deaths,Recovered,Tests made,new cases 
22-01-20,0,0,0,0,0
23-01-20,0,0,0,0,0
24-01-20,0,0,0,0,0
25-01-20,0,0,0,0,0
26-01-20,0,0,0,0,0
27-01-20,0,0,0,0,0
28-01-20,0,0,0,0,0
29-01-20,0,0,0,0,0
30-01-20,0,0,0,0,0
31-01-20,0,0,0,0,0
01-02-20,0,0,0,0,0
02-02-20,0,0,0,0,0
03-02-20,0,0,0,0,0
04-02-20,0,0,0,0,0
05-02-20,0,0,0,0,0
06-02-20,0,0,0,0,0
07-02-20,0,0,0,0,0
08-02-20,0,0,0,0,0
09-02-20,0,0,0,0,0
10-02-20,0,0,0,0,0
11-02-20,0,0,0,0,0
12-02-20,0,0,0,0,0
13-02-20,0,0,0,0,0
14-02-20,0,0,0,0,0
15-02-20,0,0,0,0,0
16-02-20,0,0,0,0,0
17-02-20,0,0,0,0,0
18-02-20,0,0,0,0,0
19-02-20,0,0,0,0,0
20-02-20,0,0,0,0,0
21-02-20,0,0,0,0,0
22-02-20,0,0,0,0,0
23-02-20,0,0,0,0,0
24-02-20,0,0,0,0,0
25-02-20,0,0,0,0,0
26-02-20,0,0,0,0,0
27-02-20,0,0,0,0,0
28-02-20,0,0,0,0,0
29-02-20,0,0,0,0,0
01-03-20,0,0,0,0,0
02-03-20,0,0,0,0,0
03-03-20,1,0,0,0,1
04-03-20,1,0,0,0,0
05-03-20,1,0,0,0,0
06-03-20,1,0,0,0,0
07-03-20,1,0,0,0,0
08-03-20,1,0,0,0,0
09-03-20,1,0,0,0,0
10-03-20,1,0,0,0,0
11-03-20,1,0,0,0,0
12-03-20,1,0,0,0,0
13-03-20,1,0,1,0,0
14-03-20,1,0,1,0,0
15-03-20,8,0,1,0,7
16-03-20,17,0,1,0,9
17-03-20,34,0,1,0,17
18-03-20,52,0,1,0,18
19-03-20,69,0,1,0,17
20-03-20,85,0,1,0,16
21-03-20,85,0,1,0,0
22-03-20,112,0,1,0,27
23-03-20,127,0,1,0,15
24-03-20,154,0,1,0,27
25-03-20,172,0,1,0,18
26-03-20,212,0,1,0,40
27-03-20,235,1,18,0,23
28-03-20,246,1,18,0,11
29-03-20,259,3,18,0,13
30-03-20,268,5,26,0,9
31-03-20,274,5,30,0,6
01-04-20,278,5,36,0,4
02-04-20,299,5,45,0,21
03-04-20,310,5,58,0,11
04-04-20,323,5,74,0,13
05-04-20,345,5,110,0,22
06-04-20,349,6,126,0,4
07-04-20,353,6,138,0,4
08-04-20,358,6,150,0,5
09-04-20,372,7,161,16300,14
10-04-20,372,7,170,"17,000",0
